datetime,temperature,humidity,load,hour,day_of_week,month
2021-01-11 04:00:00,79,49,1962.6803007999035,4,0,1
2021-01-11 05:00:00,79,49,2923.3553530147506,5,0,1
2021-01-11 06:00:00,79,49,3351.7781202669125,6,0,1
2021-01-11 07:00:00,85,27,4443.500136582421,7,0,1
2021-01-11 08:00:00,85,27,5268.759992559919,8,0,1
2021-01-11 09:00:00,85,27,5551.014992161343,9,0,1
2021-01-11 10:00:00,83,43,4499.447109717704,10,0,1
2021-01-11 11:00:00,83,43,4810.935662849275,11,0,1
2021-01-11 12:00:00,83,43,4791.614636090844,12,0,1
2021-01-11 13:00:00,73,71,4580.09139531811,13,0,1
2021-01-11 14:00:00,73,71,4154.020753062628,14,0,1
2021-01-11 15:00:00,73,71,4868.898743124568,15,0,1
2021-01-11 16:00:00,71,76,4385.873074163797,16,0,1
2021-01-11 17:00:00,71,76,4290.612011798317,17,0,1
2021-01-11 18:00:00,71,76,3152.1835134059056,18,0,1
2021-01-11 19:00:00,68,83,951.6025700848016,19,0,1
2021-01-11 20:00:00,68,83,832.6522488242015,20,0,1
2021-01-11 21:00:00,68,83,812.827195280768,21,0,1
2021-01-11 22:00:00,67,88,654.2267669333012,22,0,1
2021-01-11 23:00:00,67,88,515.4513921292676,23,0,1
2021-01-11 00:00:00,67,88,1982.5053543433369,0,0,1
2021-01-12 01:00:00,68,92,1982.5053543433369,1,1,1
2021-01-12 02:00:00,68,92,1987.8816400500305,2,1,1
2021-01-12 03:00:00,68,92,2046.3487471103256,3,1,1
2021-01-12 04:00:00,77,56,2067.3498631520984,4,1,1
2021-01-12 05:00:00,77,56,3026.1768171552694,5,1,1
2021-01-12 06:00:00,77,56,3405.8769951905188,6,1,1
2021-01-12 07:00:00,82,44,4308.588967130074,7,1,1
2021-01-12 08:00:00,82,44,5042.9559928787785,8,1,1
2021-01-12 09:00:00,82,44,5486.667572609352,9,1,1
2021-01-12 10:00:00,81,54,4615.877297053292,10,1,1
2021-01-12 11:00:00,81,54,4749.948421863968,11,1,1
2021-01-12 12:00:00,81,54,4735.835671883896,12,1,1
2021-01-12 13:00:00,69,78,4735.835671883896,13,1,1
2021-01-12 14:00:00,69,78,4521.456279329481,14,1,1
2021-01-12 15:00:00,69,78,4560.434350703011,15,1,1
2021-01-12 16:00:00,70,83,4480.462100815941,16,1,1
2021-01-12 17:00:00,70,83,4202.911351207874,17,1,1
2021-01-12 18:00:00,70,83,852.4773023676348,18,1,1
2021-01-12 19:00:00,69,85,832.6522488242015,19,1,1
2021-01-12 20:00:00,69,85,793.0021417373348,20,1,1
2021-01-12 21:00:00,69,85,733.5269811070347,21,1,1
2021-01-12 22:00:00,66,88,614.5766598464344,22,1,1
2021-01-12 23:00:00,66,88,535.2764456727009,23,1,1
2021-01-12 00:00:00,66,88,535.2764456727009,0,1,1
2021-01-13 01:00:00,70,87,1946.0474168948192,1,2,1
2021-01-13 02:00:00,70,87,1946.0474168948192,2,2,1
2021-01-13 03:00:00,70,87,1946.0474168948192,3,2,1
2021-01-13 04:00:00,76,63,2104.8158541706207,4,2,1
2021-01-13 05:00:00,76,63,2241.2391039779754,5,2,1
2021-01-13 06:00:00,76,63,3728.958164377149,6,2,1
2021-01-13 07:00:00,81,48,4922.325582334837,7,2,1
2021-01-13 08:00:00,81,48,5362.844992427061,8,2,1
2021-01-13 09:00:00,81,48,5496.916117237737,9,2,1
2021-01-13 10:00:00,84,32,5496.916117237737,10,2,1
2021-01-13 11:00:00,84,32,5324.538956766867,11,2,1
2021-01-13 12:00:00,84,32,4888.219769882999,12,2,1
2021-01-13 13:00:00,82,71,4695.009502298691,13,2,1
2021-01-13 14:00:00,82,71,4695.009502298691,14,2,1
2021-01-13 15:00:00,82,71,4579.083341748105,15,2,1
2021-01-13 16:00:00,71,82,4501.799234714383,16,2,1
2021-01-13 17:00:00,71,82,3806.4102803392066,17,2,1
2021-01-13 18:00:00,71,82,812.827195280768,18,2,1
2021-01-13 19:00:00,69,88,832.6522488242015,19,2,1
2021-01-13 20:00:00,69,88,773.1770881939013,20,2,1
2021-01-13 21:00:00,69,88,693.8768740201679,21,2,1
2021-01-13 22:00:00,64,86,555.1014992161342,22,2,1
2021-01-13 23:00:00,64,86,555.1014992161342,23,2,1
2021-01-13 00:00:00,64,86,555.1014992161342,0,2,1
2021-01-14 01:00:00,67,88,2005.018550740117,1,3,1
2021-01-14 02:00:00,67,88,2005.018550740117,2,3,1
2021-01-14 03:00:00,67,88,1987.8816400500305,3,3,1
2021-01-14 04:00:00,80,45,1987.8816400500305,4,3,1
2021-01-14 05:00:00,80,45,2317.515157441694,5,3,1
2021-01-14 06:00:00,80,45,3436.286611219006,6,3,1
2021-01-14 07:00:00,86,25,4045.6549942870806,7,3,1
2021-01-14 08:00:00,86,25,4613.357163128279,8,3,1
2021-01-14 09:00:00,86,25,4613.357163128279,9,3,1
2021-01-14 10:00:00,83,26,5050.012367868815,10,3,1
2021-01-14 11:00:00,83,26,3001.3114957618104,11,3,1
2021-01-14 12:00:00,83,26,4716.3466361971305,12,3,1
2021-01-14 13:00:00,72,67,4714.330529057122,13,3,1
2021-01-14 14:00:00,72,67,4560.434350703011,14,3,1
2021-01-14 15:00:00,72,67,4405.194100922227,15,3,1
2021-01-14 16:00:00,68,78,4499.447109717704,16,3,1
2021-01-14 17:00:00,68,78,4347.567038503604,17,3,1
2021-01-14 18:00:00,68,78,662.6272133500102,18,3,1
2021-01-14 19:00:00,68,87,904.2240522945625,19,3,1
2021-01-14 20:00:00,68,87,825.5958738341658,20,3,1
2021-01-14 21:00:00,68,87,687.9965615284714,21,3,1
2021-01-14 22:00:00,62,87,629.0254276831739,22,3,1
2021-01-14 23:00:00,62,87,589.7113384529755,23,3,1
2021-01-14 00:00:00,62,87,2083.6467292005136,0,3,1
2021-01-15 01:00:00,66,79,2083.6467292005136,1,4,1
2021-01-15 02:00:00,66,79,2083.6467292005136,2,4,1
2021-01-15 03:00:00,66,79,2083.6467292005136,3,4,1
2021-01-15 04:00:00,79,37,2143.7939255441506,4,4,1
2021-01-15 05:00:00,79,37,2704.943746180315,5,4,1
2021-01-15 06:00:00,79,37,3094.5564509872816,6,4,1
2021-01-15 07:00:00,86,29,4213.663922621262,7,4,1
2021-01-15 08:00:00,86,29,5464.154376212571,8,4,1
2021-01-15 09:00:00,86,29,5352.260429942006,9,4,1
2021-01-15 10:00:00,83,36,5203.068501581254,10,4,1
2021-01-15 11:00:00,83,36,4998.937653655224,11,4,1
2021-01-15 12:00:00,83,36,4730.795404033871,12,4,1
2021-01-15 13:00:00,70,66,4327.909993888505,13,4,1
2021-01-15 14:00:00,70,66,4154.020753062628,14,4,1
2021-01-15 15:00:00,70,66,4248.60977971477,15,4,1
2021-01-15 16:00:00,68,79,4309.597020700079,16,4,1
2021-01-15 17:00:00,68,79,3998.61249435351,17,4,1
2021-01-15 18:00:00,68,79,707.6536061435706,18,4,1
2021-01-15 19:00:00,67,84,915.9846772779553,19,4,1
2021-01-15 20:00:00,67,84,864.9099630643641,20,4,1
2021-01-15 21:00:00,67,84,793.0021417373348,21,4,1
2021-01-15 22:00:00,60,87,707.6536061435706,22,4,1
2021-01-15 23:00:00,60,87,589.7113384529755,23,4,1
2021-01-15 00:00:00,60,87,2005.018550740117,0,4,1
2021-01-16 01:00:00,63,87,1987.8816400500305,1,5,1
2021-01-16 02:00:00,63,87,1987.8816400500305,2,5,1
2021-01-16 03:00:00,63,87,2143.7939255441506,3,5,1
2021-01-16 04:00:00,78,48,2299.7062110382703,4,5,1
2021-01-16 05:00:00,78,48,2395.807318045422,5,5,1
2021-01-16 06:00:00,78,48,3639.0733877183625,6,5,1
2021-01-16 07:00:00,86,25,4501.967243642716,7,5,1
2021-01-16 08:00:00,86,25,5147.121528445972,8,5,1
2021-01-16 09:00:00,86,25,5352.260429942006,9,5,1
2021-01-16 10:00:00,83,39,5137.04099274592,10,5,1
2021-01-16 11:00:00,83,39,2885.721353067894,11,5,1
2021-01-16 12:00:00,83,39,4714.330529057122,12,5,1
2021-01-16 13:00:00,72,62,4558.418243563002,13,5,1
2021-01-16 14:00:00,72,62,5113.855760635804,14,5,1
2021-01-16 15:00:00,72,62,4613.357163128279,15,5,1
2021-01-16 16:00:00,64,80,4986.504992958495,16,5,1
2021-01-16 17:00:00,64,80,4482.478207955952,17,5,1
2021-01-16 18:00:00,64,80,3548.684584274573,18,5,1
2021-01-16 19:00:00,65,86,1011.0777307151017,19,5,1
2021-01-16 20:00:00,65,86,892.1274094545015,20,5,1
2021-01-16 21:00:00,65,86,793.0021417373348,21,5,1
2021-01-16 22:00:00,63,87,713.7019275636012,22,5,1
2021-01-16 23:00:00,63,87,594.751606303001,23,5,1
2021-01-16 00:00:00,63,87,574.9265527595677,0,5,1
2021-01-17 01:00:00,67,88,2160.930836234237,1,6,1
2021-01-17 02:00:00,67,88,2141.1057826908036,2,6,1
2021-01-17 03:00:00,67,88,2122.960818430712,3,6,1
2021-01-17 04:00:00,79,50,2339.3563181251375,4,6,1
2021-01-17 05:00:00,79,50,2923.691370871419,5,6,1
2021-01-17 06:00:00,79,50,3439.9828076423573,6,6,1
2021-01-17 07:00:00,86,30,4403.1779937822175,7,6,1
2021-01-17 08:00:00,86,30,4922.325582334837,8,6,1
2021-01-17 09:00:00,86,30,4922.325582334837,9,6,1
2021-01-17 10:00:00,82,35,5203.572528366256,10,6,1
2021-01-17 11:00:00,82,35,4794.302778944191,11,6,1
2021-01-17 12:00:00,82,35,4758.012850424008,12,6,1
2021-01-17 13:00:00,73,63,4718.362743337142,13,6,1
2021-01-17 14:00:00,73,63,4347.567038503604,14,6,1
2021-01-17 15:00:00,73,63,4271.627002896555,15,6,1
2021-01-17 16:00:00,69,79,4079.592797810585,16,6,1
2021-01-17 17:00:00,69,79,3975.763280100061,17,6,1
2021-01-17 18:00:00,69,79,974.4517843382503,18,6,1
2021-01-17 19:00:00,66,84,935.4737129647202,19,6,1
2021-01-17 20:00:00,66,84,877.0066059044252,20,6,1
2021-01-17 21:00:00,66,84,825.5958738341658,21,6,1
2021-01-17 22:00:00,63,86,786.2817846039674,22,6,1
2021-01-17 23:00:00,63,86,707.6536061435706,23,6,1
2021-01-17 00:00:00,63,86,589.7113384529755,0,6,1
2021-01-18 01:00:00,67,90,2162.2749076609102,1,0,1
2021-01-18 02:00:00,67,90,2162.2749076609102,2,0,1
2021-01-18 03:00:00,67,90,2260.560130736406,3,0,1
2021-01-18 04:00:00,76,51,2357.165264528561,4,0,1
2021-01-18 05:00:00,76,51,2451.5862822523704,5,0,1
2021-01-18 06:00:00,76,51,3458.4637897591174,6,0,1
2021-01-18 07:00:00,78,38,4366.5520474053665,7,0,1
2021-01-18 08:00:00,78,38,4986.504992958495,8,0,1
2021-01-18 09:00:00,78,38,5171.314814126094,9,0,1
2021-01-18 10:00:00,77,37,5301.017706800081,10,0,1
2021-01-18 11:00:00,77,37,5086.638314245666,11,0,1
2021-01-18 12:00:00,77,37,4656.367448781828,12,0,1
2021-01-18 13:00:00,69,71,4656.367448781828,13,0,1
2021-01-18 14:00:00,69,71,4092.697494220651,14,0,1
2021-01-18 15:00:00,69,71,3868.909601679522,15,0,1
2021-01-18 16:00:00,65,82,3868.909601679522,16,0,1
2021-01-18 17:00:00,65,82,3839.3400302927057,17,0,1
2021-01-18 18:00:00,65,82,746.967695373769,18,0,1
2021-01-18 19:00:00,66,86,915.9846772779553,19,0,1
2021-01-18 20:00:00,66,86,818.5394988441301,20,0,1
2021-01-18 21:00:00,66,86,773.1770881939013,21,0,1
2021-01-18 22:00:00,62,91,654.2267669333012,22,0,1
2021-01-18 23:00:00,62,91,594.751606303001,23,0,1
2021-01-18 00:00:00,62,91,2122.960818430712,0,0,1
2021-01-19 01:00:00,67,92,2166.733206439593,1,1,1
2021-01-19 02:00:00,67,92,2166.733206439593,2,1,1
2021-01-19 03:00:00,67,92,2166.733206439593,3,1,1
2021-01-19 04:00:00,77,55,2148.2141192050663,4,1,1
2021-01-19 05:00:00,77,55,2345.751049706682,5,1,1
2021-01-19 06:00:00,77,55,2803.9269857312615,6,1,1
2021-01-19 07:00:00,82,35,3341.6664076523252,7,1,1
2021-01-19 08:00:00,82,35,4940.995357989623,8,1,1
2021-01-19 09:00:00,82,35,5541.665381902087,9,1,1
2021-01-19 10:00:00,81,35,5442.896916651278,10,1,1
2021-01-19 11:00:00,81,35,4935.336748001294,11,1,1
2021-01-19 12:00:00,81,35,4693.216829712856,12,1,1
2021-01-19 13:00:00,73,68,4632.858323170697,13,1,1
